x,y,yaw,v
0.000000,-0.000000,-0.000000,0.800000
0.313953,-0.009866,-0.062832,0.800000
0.626666,-0.039426,-0.125664,0.800000
0.936907,-0.088564,-0.188496,0.800000
1.243449,-0.157084,-0.251327,0.800000
1.545085,-0.244717,-0.314159,0.800000
1.840623,-0.351118,-0.376991,0.800000
2.128896,-0.475865,-0.439823,0.800000
2.408768,-0.618467,-0.502655,0.800000
2.679134,-0.778360,-0.565487,0.800000
2.938926,-0.954915,-0.628319,0.800000
3.187120,-1.147434,-0.691150,0.800000
3.422736,-1.355157,-0.753982,0.800000
3.644843,-1.577264,-0.816814,0.800000
3.852566,-1.812880,-0.879646,0.800000
4.045085,-2.061074,-0.942478,0.800000
4.221640,-2.320866,-1.005310,0.800000
4.381533,-2.591232,-1.068142,0.800000
4.524135,-2.871104,-1.130973,0.800000
4.648882,-3.159377,-1.193805,0.800000
4.755283,-3.454915,-1.256637,0.800000
4.842916,-3.756551,-1.319469,0.800000
4.911436,-4.063093,-1.382301,0.800000
4.960574,-4.373334,-1.445133,0.800000
4.990134,-4.686047,-1.507964,0.800000
5.000000,-5.000000,-1.570796,0.800000
4.990134,-5.313953,-1.633628,0.800000
4.960574,-5.626666,-1.696460,0.800000
4.911436,-5.936907,-1.759292,0.800000
4.842916,-6.243449,-1.822124,0.800000
4.755283,-6.545085,-1.884956,0.800000
4.648882,-6.840623,-1.947787,0.800000
4.524135,-7.128896,-2.010619,0.800000
4.381533,-7.408768,-2.073451,0.800000
4.221640,-7.679134,-2.136283,0.800000
4.045085,-7.938926,-2.199115,0.800000
3.852566,-8.187120,-2.261947,0.800000
3.644843,-8.422736,-2.324779,0.800000
3.422736,-8.644843,-2.387610,0.800000
3.187120,-8.852566,-2.450442,0.800000
2.938926,-9.045085,-2.513274,0.800000
2.679134,-9.221640,-2.576106,0.800000
2.408768,-9.381533,-2.638938,0.800000
2.128896,-9.524135,-2.701770,0.800000
1.840623,-9.648882,-2.764602,0.800000
1.545085,-9.755283,-2.827433,0.800000
1.243449,-9.842916,-2.890265,0.800000
0.936907,-9.911436,-2.953097,0.800000
0.626666,-9.960574,-3.015929,0.800000
0.313953,-9.990134,-3.078761,0.800000
-0.000000,-10.000000,-3.141593,0.800000
-0.313953,-9.990134,-3.204425,0.800000
-0.626666,-9.960574,-3.267256,0.800000
-0.936907,-9.911436,-3.330088,0.800000
-1.243449,-9.842916,-3.392920,0.800000
-1.545085,-9.755283,-3.455752,0.800000
-1.840623,-9.648882,-3.518584,0.800000
-2.128896,-9.524135,-3.581416,0.800000
-2.408768,-9.381533,-3.644247,0.800000
-2.679134,-9.221640,-3.707079,0.800000
-2.938926,-9.045085,-3.769911,0.800000
-3.187120,-8.852566,-3.832743,0.800000
-3.422736,-8.644843,-3.895575,0.800000
-3.644843,-8.422736,-3.958407,0.800000
-3.852566,-8.187120,-4.021239,0.800000
-4.045085,-7.938926,-4.084070,0.800000
-4.221640,-7.679134,-4.146902,0.800000
-4.381533,-7.408768,-4.209734,0.800000
-4.524135,-7.128896,-4.272566,0.800000
-4.648882,-6.840623,-4.335398,0.800000
-4.755283,-6.545085,-4.398230,0.800000
-4.842916,-6.243449,-4.461062,0.800000
-4.911436,-5.936907,-4.523893,0.800000
-4.960574,-5.626666,-4.586725,0.800000
-4.990134,-5.313953,-4.649557,0.800000
-5.000000,-5.000000,-4.712389,0.800000
-4.990134,-4.686047,-4.775221,0.800000
-4.960574,-4.373334,-4.838053,0.800000
-4.911436,-4.063093,-4.900885,0.800000
-4.842916,-3.756551,-4.963716,0.800000
-4.755283,-3.454915,-5.026548,0.800000
-4.648882,-3.159377,-5.089380,0.800000
-4.524135,-2.871104,-5.152212,0.800000
-4.381533,-2.591232,-5.215044,0.800000
-4.221640,-2.320866,-5.277876,0.800000
-4.045085,-2.061074,-5.340708,0.800000
-3.852566,-1.812880,-5.403539,0.800000
-3.644843,-1.577264,-5.466371,0.800000
-3.422736,-1.355157,-5.529203,0.800000
-3.187120,-1.147434,-5.592035,0.800000
-2.938926,-0.954915,-5.654867,0.800000
-2.679134,-0.778360,-5.717699,0.800000
-2.408768,-0.618467,-5.780530,0.800000
-2.128896,-0.475865,-5.843362,0.800000
-1.840623,-0.351118,-5.906194,0.800000
-1.545085,-0.244717,-5.969026,0.800000
-1.243449,-0.157084,-6.031858,0.800000
-0.936907,-0.088564,-6.094690,0.800000
-0.626666,-0.039426,-6.157522,0.800000
-0.313953,-0.009866,-6.220353,0.800000
