x,y,yaw,v
0.000000,0.000000,0.000000,0.800000
0.190476,0.000000,0.000000,0.800000
0.380952,0.000000,0.000000,0.800000
0.571429,0.000000,0.000000,0.800000
0.761905,0.000000,0.000000,0.800000
0.952381,0.000000,0.000000,0.800000
1.142857,0.000000,0.000000,0.800000
1.333333,0.000000,0.000000,0.800000
1.523810,0.000000,0.000000,0.800000
1.714286,0.000000,0.000000,0.800000
1.904762,0.000000,0.000000,0.800000
2.095238,0.000000,0.000000,0.800000
2.285714,0.000000,0.000000,0.800000
2.476190,0.000000,0.000000,0.800000
2.666667,0.000000,0.000000,0.800000
2.857143,0.000000,0.000000,0.800000
3.047619,0.000000,0.000000,0.800000
3.238095,0.000000,0.000000,0.800000
3.428571,0.000000,0.000000,0.800000
3.619048,0.000000,0.000000,0.800000
3.809524,0.000000,0.000000,0.800000
4.000000,0.000000,0.000000,0.800000
4.190476,0.000000,0.000000,0.800000
4.380952,0.000000,0.000000,0.800000
4.571429,0.000000,0.000000,0.800000
4.761905,0.000000,0.000000,0.800000
4.952381,0.000000,0.000000,0.800000
5.142857,0.000000,0.000000,0.800000
5.333333,0.000000,0.000000,0.800000
5.523810,0.000000,0.000000,0.800000
5.714286,0.000000,0.000000,0.800000
5.904762,0.000000,0.000000,0.800000
6.095238,0.000000,0.000000,0.800000
6.285714,0.000000,0.000000,0.800000
6.476190,0.000000,0.000000,0.800000
6.666667,0.000000,0.000000,0.800000
6.857143,0.000000,0.000000,0.800000
7.047619,0.000000,0.000000,0.800000
7.238095,0.000000,0.000000,0.800000
7.428571,0.000000,0.000000,0.800000
7.619048,0.000000,0.000000,0.800000
7.809524,0.000000,0.000000,0.800000
8.000000,0.000000,0.000000,0.800000
8.196034,0.009631,0.098175,0.800000
8.390181,0.038429,0.196350,0.800000
8.580569,0.086119,0.294524,0.800000
8.765367,0.152241,0.392699,0.800000
8.942793,0.236157,0.490874,0.800000
9.111140,0.337061,0.589049,0.800000
9.268787,0.453979,0.687223,0.800000
9.414214,0.585786,0.785398,0.800000
9.546021,0.731213,0.883573,0.800000
9.662939,0.888860,0.981748,0.800000
9.763843,1.057207,1.079922,0.800000
9.847759,1.234633,1.178097,0.800000
9.913881,1.419431,1.276272,0.800000
9.961571,1.609819,1.374447,0.800000
9.990369,1.803966,1.472622,0.800000
10.000000,2.000000,1.570796,0.800000
9.990369,2.196034,1.668971,0.800000
9.961571,2.390181,1.767146,0.800000
9.913881,2.580569,1.865321,0.800000
9.847759,2.765367,1.963495,0.800000
9.763843,2.942793,2.061670,0.800000
9.662939,3.111140,2.159845,0.800000
9.546021,3.268787,2.258020,0.800000
9.414214,3.414214,2.356194,0.800000
9.268787,3.546021,2.454369,0.800000
9.111140,3.662939,2.552544,0.800000
8.942793,3.763843,2.650719,0.800000
8.765367,3.847759,2.748894,0.800000
8.580569,3.913881,2.847068,0.800000
8.390181,3.961571,2.945243,0.800000
8.196034,3.990369,3.043418,0.800000
8.000000,4.000000,-3.141593,0.800000
7.809524,4.000000,-3.141593,0.800000
7.619048,4.000000,-3.141593,0.800000
7.428571,4.000000,-3.141593,0.800000
7.238095,4.000000,-3.141593,0.800000
7.047619,4.000000,-3.141593,0.800000
6.857143,4.000000,-3.141593,0.800000
6.666667,4.000000,-3.141593,0.800000
6.476190,4.000000,-3.141593,0.800000
6.285714,4.000000,-3.141593,0.800000
6.095238,4.000000,-3.141593,0.800000
5.904762,4.000000,-3.141593,0.800000
5.714286,4.000000,-3.141593,0.800000
5.523810,4.000000,-3.141593,0.800000
5.333333,4.000000,-3.141593,0.800000
5.142857,4.000000,-3.141593,0.800000
4.952381,4.000000,-3.141593,0.800000
4.761905,4.000000,-3.141593,0.800000
4.571429,4.000000,-3.141593,0.800000
4.380952,4.000000,-3.141593,0.800000
4.190476,4.000000,-3.141593,0.800000
4.000000,4.000000,-3.141593,0.800000
3.809524,4.000000,-3.141593,0.800000
3.619048,4.000000,-3.141593,0.800000
3.428571,4.000000,-3.141593,0.800000
3.238095,4.000000,-3.141593,0.800000
3.047619,4.000000,-3.141593,0.800000
2.857143,4.000000,-3.141593,0.800000
2.666667,4.000000,-3.141593,0.800000
2.476190,4.000000,-3.141593,0.800000
2.285714,4.000000,-3.141593,0.800000
2.095238,4.000000,-3.141593,0.800000
1.904762,4.000000,-3.141593,0.800000
1.714286,4.000000,-3.141593,0.800000
