# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.1200,-1.4000,0.2705,0.2705
-2.0343,-1.4514,0.2608,0.2608
-1.9410,-1.4858,0.2537,0.2537
-1.8420,-1.4844,0.2495,0.2495
-1.7550,-1.4380,0.1511,0.1511
-1.6810,-1.3710,0.0618,0.0618
-1.6092,-1.3014,0.0500,0.0500
-1.5238,-1.2515,0.0500,0.0500
-1.4274,-1.2670,0.0500,0.0500
-1.3502,-1.3298,0.0712,0.0712
-1.2795,-1.4005,0.1587,0.1587
-1.2064,-1.4682,0.2595,0.2595
-1.1134,-1.5000,0.3571,0.3571
-1.0179,-1.4783,0.3809,0.3809
-0.9426,-1.4126,0.4149,0.4149
-0.8881,-1.3302,0.4456,0.4456
-0.8700,-1.2327,0.4353,0.4353
-0.8700,-1.1327,0.4300,0.4300
-0.8700,-1.0327,0.4056,0.4056
-0.8700,-0.9327,0.3626,0.3626
-0.8700,-0.8327,0.3365,0.3365
-0.8754,-0.7332,0.3315,0.3315
-0.8994,-0.6365,0.3207,0.3207
-0.9391,-0.5449,0.3101,0.3101
-0.9966,-0.4634,0.3043,0.3043
-1.0673,-0.3927,0.3097,0.3097
-1.1476,-0.3335,0.3407,0.3407
-1.2284,-0.2750,0.3741,0.3741
-1.3178,-0.2309,0.4102,0.4102
-1.4157,-0.2109,0.4034,0.4034
-1.5138,-0.2288,0.3834,0.3834
-1.6119,-0.2484,0.4000,0.4000
-1.7071,-0.2774,0.3930,0.3930
-1.8052,-0.2970,0.3984,0.3984
-1.9004,-0.3261,0.3946,0.3946
-1.9970,-0.3508,0.3964,0.3964
-2.0898,-0.3879,0.3918,0.3918
-2.1817,-0.4270,0.4169,0.4169
-2.2674,-0.4785,0.4376,0.4376
-2.3458,-0.5406,0.4423,0.4423
-2.4021,-0.6204,0.4105,0.4105
-2.4081,-0.7195,0.3711,0.3711
-2.3791,-0.8147,0.3397,0.3397
-2.3693,-0.9137,0.3061,0.3061
-2.3493,-1.0117,0.2830,0.2830
-2.3206,-1.1071,0.2711,0.2711
-2.2840,-1.2001,0.2211,0.2211
-2.2341,-1.2866,0.2581,0.2581
-2.1685,-1.3612,0.2705,0.2705
